Date,Open,High,Low,Close
09/15/2022,"31,124.68","31,277.69","30,882.08","30,961.82"
09/14/2022,"31,141.02","31,276.82","30,885.02","31,135.09"
09/13/2022,"32,006.50","32,006.50","31,018.54","31,104.97"
09/12/2022,"32,159.49","32,504.04","32,159.49","32,381.34"
09/09/2022,"31,876.22","32,227.74","31,876.22","32,151.71"
09/08/2022,"31,481.95","31,783.37","31,321.50","31,774.52"
09/07/2022,"31,145.63","31,644.34","31,095.21","31,581.28"
09/06/2022,"31,343.79","31,463.89","31,048.46","31,145.30"
09/02/2022,"31,848.50","32,026.90","31,182.09","31,318.44"
09/01/2022,"31,454.58","31,677.51","31,219.75","31,656.42"
08/31/2022,"31,827.15","31,966.04","31,509.59","31,510.43"
08/30/2022,"32,163.84","32,205.66","31,647.22","31,790.87"
08/29/2022,"32,188.00","32,325.16","31,972.79","32,098.99"
08/26/2022,"33,293.43","33,364.70","32,278.22","32,283.40"
08/25/2022,"33,029.27","33,306.09","32,889.85","33,291.78"
08/24/2022,"32,899.01","33,095.50","32,828.56","32,969.23"
08/23/2022,"33,033.52","33,138.26","32,858.89","32,909.59"
08/22/2022,"33,586.59","33,586.59","33,007.63","33,063.61"
08/19/2022,"33,904.69","33,904.69","33,627.09","33,706.74"
08/18/2022,"33,981.86","34,043.83","33,844.46","33,999.04"
08/17/2022,"34,029.55","34,161.01","33,828.41","33,980.32"
08/16/2022,"33,924.35","34,281.36","33,852.57","34,152.01"
08/15/2022,"33,710.70","33,954.71","33,582.96","33,912.44"
08/12/2022,"33,430.72","33,767.09","33,398.32","33,761.05"
08/11/2022,"33,451.51","33,651.80","33,289.83","33,336.67"
08/10/2022,"33,130.63","33,364.41","33,130.63","33,309.51"
08/09/2022,"32,807.36","32,877.53","32,702.66","32,774.41"
08/08/2022,"32,877.36","33,109.96","32,769.10","32,832.54"
08/05/2022,"32,593.90","32,814.61","32,489.62","32,803.47"
08/04/2022,"32,805.69","32,829.22","32,652.63","32,726.82"
08/03/2022,"32,514.21","32,912.74","32,514.21","32,812.50"
08/02/2022,"32,691.29","32,772.93","32,387.12","32,396.17"
08/01/2022,"32,755.71","32,972.03","32,640.79","32,798.40"
07/29/2022,"32,515.62","32,910.18","32,493.02","32,845.13"
07/28/2022,"32,197.62","32,609.54","31,982.61","32,529.63"
07/27/2022,"31,865.05","32,336.23","31,799.43","32,197.59"
07/26/2022,"31,950.04","31,950.04","31,705.36","31,761.54"
07/25/2022,"31,950.93","32,029.03","31,821.67","31,990.04"
07/22/2022,"32,167.92","32,219.25","31,731.47","31,899.29"
07/21/2022,"31,826.49","32,040.63","31,534.08","32,036.90"
07/20/2022,"31,829.99","31,944.45","31,646.95","31,874.84"
07/19/2022,"31,165.91","31,842.25","31,165.91","31,827.05"
07/18/2022,"31,475.98","31,644.68","30,982.97","31,072.61"
07/15/2022,"30,775.37","31,288.26","30,775.37","31,288.26"
07/14/2022,"30,451.80","30,680.12","30,143.93","30,630.17"
07/13/2022,"30,743.63","30,979.17","30,514.61","30,772.79"
07/12/2022,"31,113.31","31,346.10","30,860.51","30,981.33"
07/11/2022,"31,277.98","31,367.55","31,114.40","31,173.84"
07/08/2022,"31,348.43","31,511.46","31,212.45","31,338.15"
07/07/2022,"31,190.65","31,421.84","31,154.64","31,384.55"
07/06/2022,"30,957.30","31,224.69","30,794.84","31,037.68"
07/05/2022,"30,903.12","30,971.74","30,355.12","30,967.82"
07/01/2022,"30,737.77","31,139.35","30,487.79","31,097.26"
06/30/2022,"30,790.00","30,979.85","30,431.87","30,775.43"
06/29/2022,"31,067.41","31,152.96","30,894.53","31,029.31"
06/28/2022,"31,549.05","31,885.09","30,934.33","30,946.99"
06/27/2022,"31,533.60","31,598.59","31,351.37","31,438.26"
06/24/2022,"30,846.94","31,517.29","30,846.94","31,500.68"
06/23/2022,"30,570.33","30,715.63","30,293.40","30,677.36"
06/22/2022,"30,352.57","30,777.92","30,166.01","30,483.13"
06/21/2022,"30,074.69","30,653.98","30,074.69","30,530.25"
06/17/2022,"29,912.70","30,167.52","29,653.29","29,888.78"
06/16/2022,"30,305.74","30,305.74","29,740.35","29,927.07"
06/15/2022,"30,570.50","31,011.97","30,185.08","30,668.53"
06/14/2022,"30,592.34","30,690.80","30,144.23","30,364.83"
06/13/2022,"31,144.91","31,144.91","30,373.72","30,516.74"
06/10/2022,"32,053.52","32,053.52","31,387.84","31,392.79"
06/09/2022,"32,828.62","32,956.73","32,267.78","32,272.79"
06/08/2022,"33,087.07","33,156.50","32,824.37","32,910.90"
06/07/2022,"32,783.03","33,207.45","32,641.85","33,180.14"
06/06/2022,"33,032.04","33,235.37","32,819.50","32,915.78"
06/03/2022,"32,986.32","33,135.61","32,839.21","32,899.70"
06/02/2022,"32,809.01","33,248.61","32,509.43","33,248.28"
06/01/2022,"33,156.31","33,272.34","32,584.76","32,813.23"
05/31/2022,"33,160.59","33,240.22","32,752.34","32,990.12"
05/27/2022,"32,735.09","33,213.62","32,682.01","33,212.96"
05/26/2022,"32,248.17","32,774.14","32,248.17","32,637.19"
05/25/2022,"31,816.31","32,254.44","31,754.33","32,120.28"
05/24/2022,"31,717.61","32,014.86","31,365.59","31,928.62"
05/23/2022,"31,395.89","31,968.42","31,395.89","31,880.24"
05/20/2022,"31,426.94","31,515.78","30,635.76","31,261.90"
05/19/2022,"31,262.62","31,569.13","31,016.41","31,253.13"
05/18/2022,"32,468.67","32,468.67","31,393.95","31,490.07"
05/17/2022,"32,427.00","32,689.14","32,308.15","32,654.59"
05/16/2022,"32,152.15","32,514.02","31,928.18","32,223.42"
05/13/2022,"31,963.86","32,276.05","31,862.79","32,196.66"
05/12/2022,"31,699.04","31,914.46","31,228.22","31,730.30"
05/11/2022,"32,123.24","32,584.02","31,798.86","31,834.11"
05/10/2022,"32,504.09","32,752.17","31,887.89","32,160.74"
05/09/2022,"32,685.17","32,685.17","32,121.98","32,245.70"
05/06/2022,"32,773.88","33,055.84","32,474.69","32,899.37"
05/05/2022,"33,854.17","33,854.17","32,685.10","32,997.97"
05/04/2022,"33,171.80","34,117.74","33,021.84","34,061.06"
05/03/2022,"33,086.09","33,341.58","32,914.75","33,128.79"
05/02/2022,"32,978.49","33,224.95","32,449.87","33,061.50"
04/29/2022,"33,787.01","33,919.59","32,913.15","32,977.21"
04/28/2022,"33,425.96","34,054.79","33,248.46","33,916.39"
04/27/2022,"33,450.92","33,697.18","33,108.89","33,301.93"
04/26/2022,"33,907.49","33,909.51","33,230.95","33,240.18"
04/25/2022,"33,731.65","34,106.01","33,323.37","34,049.46"
04/22/2022,"34,727.38","34,727.38","33,773.39","33,811.40"
04/21/2022,"35,258.80","35,492.22","34,723.82","34,792.76"
04/20/2022,"34,962.67","35,315.40","34,962.67","35,160.79"
04/19/2022,"34,394.62","34,983.11","34,394.62","34,911.20"
04/18/2022,"34,411.49","34,618.29","34,279.08","34,411.69"
04/14/2022,"34,628.46","34,889.17","34,437.50","34,451.23"
04/13/2022,"34,166.64","34,598.36","34,140.64","34,564.59"
04/12/2022,"34,412.51","34,669.97","34,102.81","34,220.36"
04/11/2022,"34,630.27","34,701.34","34,272.29","34,308.08"
04/08/2022,"34,569.24","34,908.46","34,470.19","34,721.12"
04/07/2022,"34,439.24","34,705.83","34,190.95","34,583.57"
04/06/2022,"34,520.34","34,609.84","34,277.17","34,496.51"
04/05/2022,"34,876.33","35,112.21","34,566.04","34,641.18"
